Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Monthly payment,Credit event,Married,Homeowner,Monthly payment to income ratio,Loan to car price ratio,Job tenure * Age,Job tenure * Monthly payment,Age * Monthly payment,Default (y),Pred_default (y_hat),PD,Group
1,20,14800,18043,0,96,0.1546666666666667,0,0,0,8.572114762880792e-06,1.2191216216215393,20,0.1546666666666667,3.093333333333334,1,1,0.9954248,0
7,29,3130,3130,0,36,0.0699619771863118,0,1,0,2.2352069388590877e-05,0.9999999999996805,203,0.48973384030418254,2.028897338403042,0,0,0.0012424991,1
3,20,22586,22682,0,60,0.1814814814814815,0,0,0,8.001123423043536e-06,1.0042504206144955,60,0.5444444444444445,3.6296296296296298,1,1,0.8565419,0
31,47,12163,10163,0,48,0.087984496124031,0,1,1,8.657335051069797e-06,0.8355668831702018,1457,2.7275193798449613,4.135271317829457,0,0,0.0022253215,1
26,44,5133,5133,0,36,0.08406113537117904,0,0,0,1.6376609267711407e-05,0.999999999999805,1144,2.185589519650655,3.6986899563318776,0,0,0.00053312036,0
1,59,11650,5906,0,36,0.08894736842105264,0,1,0,1.5060509383853296e-05,0.5069527896995273,59,0.08894736842105264,5.247894736842105,0,0,3.139988e-06,0
5,31,16110,15870,1,96,0.07057163020465773,0,1,0,4.446857605838266e-06,0.9851024208565496,155,0.35285815102328866,2.18772053634439,0,0,0.0135384705,0
0,26,10540,10540,0,60,0.07559614408929477,0,0,0,7.172309685890664e-06,0.9999999999999051,0,0.0,1.965499746321664,1,0,0.06346613,0
1,41,12900,14292,0,84,0.1258064516129032,0,1,0,8.802578478372122e-06,1.1079069767441,41,0.1258064516129032,5.158064516129031,1,1,0.9800975,0
19,60,18000,16905,0,24,0.2246875,0,1,1,1.3291186039632459e-05,0.9391666666666144,1140,4.2690625,13.481250000000001,1,1,0.9633822,1
27,54,17800,20607,0,96,0.1030434782608696,0,0,1,5.00041142625635e-06,1.157696629213418,1458,2.7821739130434793,5.5643478260869585,0,0,0.0007024515,0
22,45,17508,17508,0,72,0.04933333333333333,0,1,0,2.817759500418695e-06,0.9999999999999428,990,1.0853333333333333,2.22,1,1,0.98615056,1
6,52,5844,6331,0,48,0.06863636363636363,0,0,0,1.08413147427504e-05,1.0833333333331479,312,0.4118181818181818,3.569090909090909,0,0,0.00045149802,0
27,50,18700,10200,0,96,0.03909090909090909,0,1,1,3.83244206773581e-06,0.5454545454545163,1350,1.0554545454545454,1.9545454545454546,0,0,0.001459827,1
1,47,6243,6243,0,36,0.1268965517241379,0,1,0,2.0326213635130157e-05,0.9999999999998398,47,0.1268965517241379,5.9641379310344815,0,0,0.0032452063,0
10,52,715,715,0,8,0.0455,0,1,1,6.363636363627463e-05,0.9999999999986015,520,0.45499999999999996,2.366,0,0,0.00023798832,1
10,76,4764,4764,0,24,0.08333333333333333,0,0,0,1.749230338650626e-05,0.99999999999979,760,0.8333333333333333,6.333333333333333,1,1,0.9851354,0
2,58,12000,17159,0,84,0.0936,0,1,1,5.454863337023984e-06,1.4299166666665475,116,0.1872,5.4288,0,0,9.009609e-05,0
19,56,19160,15538,0,48,0.1041666666666667,0,1,1,6.7039945080872695e-06,0.8109603340291852,1064,1.9791666666666672,5.833333333333335,0,0,4.4595214e-05,1
38,55,15800,6315,0,48,0.03333333333333333,0,1,1,5.278437582474751e-06,0.3996835443037722,2090,1.2666666666666666,1.8333333333333333,0,0,1.7355791e-07,1
2,42,9680,10910,0,96,0.06691800188501414,0,1,1,6.13363903620605e-06,1.127066115702363,84,0.13383600377002827,2.8105560791705937,1,1,0.99399924,0
4,59,6572,5000,0,36,0.4166666666666667,0,1,1,8.333333333331666e-05,0.7608034083991538,236,1.6666666666666667,24.583333333333336,0,0,0.00070139696,0
9,59,19990,22103,0,72,0.1717948717948718,0,1,0,7.772468524402299e-06,1.1057028514256575,531,1.5461538461538462,10.135897435897435,1,0,0.3123771,1
15,42,11590,12611,0,60,0.08547486033519552,0,0,0,6.777801945538716e-06,1.088093183779026,630,1.2821229050279328,3.589944134078212,0,0,0.00014586313,0
9,42,24349,24349,0,72,0.2126666666666667,0,0,0,8.734102701000368e-06,0.9999999999999589,378,1.9140000000000004,8.932000000000002,0,0,0.011551963,0
42,59,18946,17046,1,60,0.1076923076923077,0,1,0,6.317746550058745e-06,0.8997149794151325,2478,4.523076923076923,6.353846153846154,0,0,0.00018269032,1
0,38,24880,27364,0,72,0.1162962962962963,0,1,0,4.249974283594944e-06,1.0998392282957756,0,0.0,4.41925925925926,1,1,0.66189796,0
1,49,14280,12280,0,60,0.04907115317209954,0,1,0,3.9960222452846535e-06,0.8599439775909762,49,0.04907115317209954,2.4044865054328777,0,0,0.0050914176,0
4,45,3490,3490,0,48,0.04184782608695652,0,0,1,1.1990781113737689e-05,0.9999999999997135,180,0.1673913043478261,1.8831521739130435,0,0,7.069656e-06,0
5,22,20750,19050,0,60,0.1226666666666667,0,0,1,6.439195100612087e-06,0.9180722891565822,110,0.6133333333333335,2.6986666666666674,0,0,0.0003269341,0
7,34,12500,11236,0,48,0.0652,0,0,0,5.802776788892327e-06,0.8988799999999281,238,0.4564,2.2167999999999997,0,0,5.2905794e-05,0
0,31,12450,13800,0,72,0.1178571428571429,0,0,0,8.540372670806837e-06,1.10843373493967,0,0.0,3.65357142857143,1,1,0.99135286,0
0,52,3990,4417,0,36,0.07065217391304347,0,0,0,1.599551141340898e-05,1.1070175438593717,0,0.0,3.6739130434782608,1,1,0.95689267,0
8,32,14640,8122,1,24,0.07822222222222222,0,0,0,9.63090645434777e-06,0.5547814207649894,256,0.6257777777777778,2.503111111111111,0,0,0.0042718695,0
17,60,15600,16267,0,72,0.1539393939393939,0,1,1,9.463293412392231e-06,1.0427564102563434,1020,2.6169696969696963,9.236363636363635,0,0,3.433866e-05,1
16,46,15500,13000,0,96,0.05289588215600938,0,1,1,4.068914012000408e-06,0.8387096774193007,736,0.84633411449615,2.433210579176431,0,0,0.00013892236,1
17,51,7436,8001,0,48,0.03252788104089219,0,1,1,4.065476945492828e-06,1.0759817105969505,867,0.5529739776951672,1.6589219330855016,0,0,0.0028510196,1
7,72,7450,7756,0,48,0.1166666666666667,0,1,1,1.5042117930202636e-05,1.041073825503216,504,0.8166666666666669,8.400000000000002,0,0,0.0005174835,1
20,55,14990,14990,0,96,0.1718181818181818,0,1,1,1.1462186912486346e-05,0.9999999999999333,1100,3.4363636363636356,9.449999999999998,0,0,0.013040353,1
2,66,29000,29000,0,60,0.1788359788359788,0,1,1,6.166757890895608e-06,0.9999999999999655,132,0.3576719576719576,11.8031746031746,1,1,0.98787713,0
5,40,20849,20849,0,60,0.07176470588235294,0,0,0,3.4421174100604103e-06,0.999999999999952,200,0.3588235294117647,2.8705882352941177,0,0,0.0073949383,0
15,57,26790,15790,0,48,0.098,0,1,1,6.206459784673451e-06,0.5893990294885931,855,1.47,5.586,0,0,1.4858242e-06,1
27,52,4884,4884,0,24,0.1413333333333333,0,1,1,2.8938028938023005e-05,0.9999999999997952,1404,3.8159999999999994,7.349333333333332,0,0,7.583832e-07,1
23,42,16700,12658,0,60,0.06133828996282528,0,1,1,4.845812131681184e-06,0.757964071856242,966,1.4107806691449816,2.576208178438662,0,0,1.6276714e-05,1
2,24,2272,2417,0,24,0.08153846153846153,0,0,0,3.3735399891778153e-05,1.063820422534743,48,0.16307692307692306,1.9569230769230768,0,0,0.007931335,0
0,42,23900,20451,0,60,0.1087155963302752,0,0,0,5.315906133209617e-06,0.8556903765690018,0,0.0,4.5660550458715585,0,0,0.005003011,0
7,43,7320,6558,0,72,0.09545454545454546,0,0,1,1.4555435415451494e-05,0.8959016393441398,301,0.6681818181818182,4.1045454545454545,0,0,0.0012220854,0
5,46,5950,5950,0,48,0.0685,0,0,0,1.1512605042014871e-05,0.9999999999998319,230,0.3425,3.1510000000000002,0,0,0.000120015335,0
0,59,2846,2846,0,48,0.05307692307692308,0,0,0,1.8649656738195514e-05,0.9999999999996486,0,0.0,3.1315384615384616,1,1,0.9766198,0
41,61,5572,4728,0,36,0.073,1,1,0,1.543993231810164e-05,0.8485283560658922,2501,2.993,4.452999999999999,0,0,0.00040074612,0
18,46,2500,2656,0,24,0.0456,0,1,1,1.7168674698788716e-05,1.062399999999575,828,0.8208,2.0976,0,0,0.0014653808,1
0,25,16890,16153,0,60,0.1716666666666667,0,0,0,1.0627540807692445e-05,0.9563647128477824,0,0.0,4.291666666666667,0,0,0.0045809015,0
2,27,26228,21368,0,72,0.09619047619047619,0,0,0,4.5016134495728045e-06,0.8147018453560769,54,0.19238095238095237,2.597142857142857,0,0,0.00013359022,0
2,24,7560,6592,0,60,0.07,0,0,0,1.061893203883334e-05,0.8719576719575566,48,0.14,1.6800000000000002,0,0,1.3119111e-05,0
